Car_ID,Year,Make,Model
48,2015,Acura,TLX
124,2015,Jeep,Wrangler
222,2015,Lexus,Is250
207,1993,Honda,Civic eG
167,2016,Ford,Mystang
159,2013,Hyundai,Gen coupe
20,2009,Infiniti,G37
178,2009,Honda,Oddesy
30,2012,Hyundai,Celoster
1,2012,Subaru,WRX
51,2015,Subaru,WRX
183,2005,Volkswagen,Jetta
177,2005,Volkswagen,Jetta gli
5,2003,Acura,Rsx
218,2010,Chevy,Camaro
39,2011,Honda,Civic
68,2013,Nissan,Altima
10,2001,Nissan,S15
67,2015,Subaru,Sti
43,2011,Toyota,4 Runner
170,2014,Chevy,Cruze
216,2007,Chrystler,300
99,2014,Honda,Civic si
89,2014,Honda,Civic si
95,2004,Infiniti,G35
228,2010,Nissan,370
7,2014,Nissan,Sentra
14,1990,Nissan,Skyline
8,1991,Nissan,Skyline
145,1990,Volkswagen,Gti
102,2015,Honda,Accord
36,2016,Subaru,WRX
189,2012,Toyota,Fj cruiser
111,2007,Bmw,328i
140,1995,Mitsu,Evo8
161,2012,Nissan,370z
37,2015,Subaru,Sti
243,2008,Toyota,Matrix
184,2010,Volkswagen,Cc
66,2010,Volkswagen,Gti
101,2014,Honda,Civic
21,2009,Subaru,WRX
200,2016,Subaru,WRX
2,2016,Bmw,M2
23,1998,Subaru,Legacy
59,2012,Volkswagen,Golf
42,2001,Dodge,Viper
83,2014,Honda,Accord
16,2008,Nissan,350z
181,2003,Volkswagen,Gti
0,2015,Chevy,Camaro
88,2008,Honda,Accord
25,2012,Mercedes,C250
176,2014,Mitsu,Lancer
134,2013,Subaru,WRX
127,2013,Acura,Tsx
104,2014,Honda,Civic si
120,2014,Ford,Focus st
85,2017,Honda,Accord
Showcar,2014,Nissan,Gtr
108,2013,Audi,S4
98,2012,Mercedes,C63
130,2016,Honda,Civic si
12,1990,Nissan,240
232,2018,Subaru,WRX
Vip,2008,Volkswagen,Gli
96,2017,Volkswagen,Gti
15,2014,Audi,S4
65,2009,Honda,Fit
92,2017,Hyundai,Elantra sport
179,2004,Volkswagen,R32
63,2010,Honda,Civic
35,2016,Honda,Civic
79,1993,Mazda,Miata
4341,1992,Nissan,Rps13
156,2014,Volkswagen,Gli
220,2004,Audi,A4
44,2018,Honda,Civic si
19,2001,Mitsu,Evo7
123,2006,Lexus,Sc430
57,2015,Scion,Frs
230,2004,Acura,Tsx
33,2015,Subaru,Sti
75,2012,Subaru,WRX
175,2006,Honda,Civic
115,2001,Honda,Crv
153,2017,Subaru,Brz
76,2005,Subaru,Sti
56,2009,Volkswagen,Jetta
50,2015,Acura,TLX
163,2013,Mitsu,Ralliart
53,2013,Subaru,WRX
241,2007,Toyota,Camry
114,2010,Volkswagen,Gti
41,2012,Acura,Tsx
116,2008,Audi,A4
137,2017,Ford,Focus rs
212,2001,Lexus,Is300
52,2007,Mazda,Speed 3
93,2005,Acura,TL
226,2008,Honda,Accord
22,2007,Honda,Civic
70,2014,Honda,Civic
128,2010,Infiniti,G37
40,2007,Subaru,Legacy
238,1982,Volkswagen,Rabbit
31,2007,Honda,Fit
71,2008,Acura,TL
18,2015,Audi,S3
38,2017,Hyundai,Elantra sport
46,2008,Volkswagen,R32
49,1997,Acura,Integra
28,1995,Bmw,318xi
219,2016,Ford,Focus rs
185,2013,Volkswagen,Jett
162,2014,Nissan,370z
180,2011,Volkswagen,Gti
103,2010,Acura,Tsx
197,2010,Audi,A4
74,2015,Honda,Accord
150,2006,Nissan,350z
78,2015,Mazda,6
141,1993,Mazda,Miata
17,2016,Mercedes,C43
187,2007,Subaru,Legacy
69,2018,Subaru,WRX
100,2006,Volvo,S60r
112,2008,Acura,TL
172,2014,Bmw,4
91,2010,Mitsu,Lancer
158,2007,Nissan,350z
182,2012,Volkswagen,Cc
225,2016,Acura,TLX
81,2016,Volkswagen,GTI
6,2016,Volkswagen,Golf r
121,2012,Acura,TL
211,2004,Acura,Tsx
186,2012,Volkswagen,Gli
4,2007,Honda,Civic
72,2016,Honda,Civic si
45,2006,Acura,TL
1051,2006,Acura,Tsx
84,2012,Mercedes,Cl63amg
118,1993,Honda,Civic
174,2006,Acura,Rsx
138,1990,Mazda,Miata
242,2014,Nissan,Maxima
3,2011,Nissan,370
193,2014,Nissan,Ssntra
94,2004,Volkswagen,Gti
11,1991,Nissan,Skyline
86,1996,Volkswagen,Jetta
9,1996,Nissan,240
142,1993,Toyota,Supra
126,2010,Volkswagen,Eos
144,2016,Volkswagen,Gti
110,2011,Toyota,Camry
34,2010,Honda,Fit
190,1995,Lexus,Sc300
235,2013,Scion,Frs
24,2013,Subaru,BRZ
64,2004,Subaru,Forester
122,2011,Infiniti,M37s
106,2007,Acura,Tl type s
113,2012,Acura,Tsx sportwagon
13,2016,Honda,Civic 1.5t
237,1987,Volkswagen,Jetta
